disctag,Sex,Length
1,F,800
2,M,650
3,M,650
4,F,830
5,F,770
6,F,730
7,M,890
8,M,660
9,M,1000
10,M,750
11,F,800
12,F,850
13,F,830
14,M,640
15,M,760
16,F,810
17,M,810
18,F,840
19,F,730
20,M,790
21,M,760
22,F,790
23,M,840
24,F,650
25,M,740
26,M,830
27,M,670
28,M,830
29,F,790
30,F,750
31,M,940
32,F,770
34,F,780
35,M,830
36,M,630
37,F,890
38,M,880
39,F,800
40,F,730
41,F,790
42,M,800
43,M,880
44,M,830
45,M,880
46,M,820
47,F,710
48,M,880
49,M,920
50,F,780
51,F,730
52,M,800
53,M,770
54,M,730
56,M,870
57,M,950
58,F,820
59,M,900
60,M,650
61,M,820
62,M,650
63,M,550
64,F,740
65,F,800
66,F,810
67,F,760
68,F,730
69,M,640
70,M,830
71,M,810
72,F,760
73,M,810
74,M,810
75,M,820
76,M,610
77,F,810
78,F,780
79,M,1040
80,F,780
81,M,1070
82,M,810
83,M,690
84,M,560
85,M,740
86,F,780
87,M,570
88,F,700
89,M,950
90,M,890
91,F,850
92,F,870
93,M,690
94,F,720
95,M,760
96,F,850
97,M,710
98,M,560
99,M,850
100,M,850
101,M,640
102,M,860
103,F,850
104,M,820
105,M,580
106,F,600
107,F,740
108,F,850
109,M,810
110,M,640
111,F,740
112,F,810
113,F,750
114,F,770
115,F,740
116,M,840
117,M,850
118,M,640
119,M,540
120,M,850
121,F,940
122,M,590
123,M,780
124,F,780
125,F,790
126,M,760
127,F,830
128,M,900
129,M,890
130,F,620
131,F,750
133,M,880
134,M,600
135,F,770
136,F,800
137,M,890
138,F,780
139,F,770
140,F,890
142,F,860
143,M,530
144,M,660
145,M,620
146,F,870
147,M,710
148,F,840
149,F,830
150,M,910
151,F,710
152,M,610
153,F,800
154,M,830
155,M,620
156,F,740
157,M,640
158,F,750
159,F,740
161,M,690
162,M,560
163,M,680
165,M,550
166,M,830
167,F,860
168,M,670
169,F,740
170,M,870
171,M,640
172,M,650
173,F,840
174,F,700
175,M,860
176,F,840
177,F,730
178,F,750
179,F,710
180,M,620
181,F,670
182,F,820
183,M,670
184,M,770
185,F,880
186,F,740
187,M,800
188,M,760
189,F,820
190,M,940
191,M,840
192,F,840
193,F,710
194,F,870
195,M,920
196,M,650
197,F,820
198,F,750
199,M,890
200,F,750
201,F,820
202,M,660
203,F,800
204,M,600
205,M,640
206,F,670
207,M,790
208,M,810
209,F,930
210,M,880
211,F,780
212,M,860
213,M,580
215,F,750
216,F,650
217,F,710
218,F,770
219,M,700
220,M,660
221,M,670
222,F,810
223,F,750
225,F,790
226,M,810
227,F,850
228,M,840
230,F,750
231,F,820
232,F,740
233,M,640
234,F,850
235,F,800
236,F,570
237,M,620
239,F,610
242,M,740
243,F,730
244,M,980
245,M,700
246,M,780
247,F,630
248,F,820
249,M,900
250,M,640
251,M,980
252,M,650
253,M,600
255,M,1000
256,M,780
257,M,920
258,M,930
259,F,770
260,F,720
261,F,720
262,M,710
263,M,760
264,M,920
265,F,780
266,F,860
267,M,920
268,M,870
269,F,610
270,M,860
271,M,880
272,F,600
273,M,660
274,M,540
275,F,580
277,M,820
278,M,910
279,F,890
280,F,780
281,F,850
282,M,890
283,F,850
284,F,790
285,M,710
288,M,810
289,F,660
290,M,940
292,F,730
293,M,890
294,F,830
295,M,930
296,M,770
297,M,900
298,M,960
299,M,610
300,F,690
301,M,720
302,M,710
304,M,890
305,F,820
306,M,590
307,F,830
308,F,860
309,F,670
310,M,1000
311,F,700
312,F,790
313,M,660
314,F,800
315,F,740
317,M,600
318,F,820
319,F,800
320,M,840
322,M,1010
323,M,730
324,F,780
325,F,820
326,F,810
327,F,700
328,M,810
329,F,770
330,F,810
331,M,630
332,F,850
333,F,840
334,M,610
335,F,730
336,M,800
337,M,580
338,M,770
339,M,770
340,F,800
341,F,740
342,F,760
343,F,810
344,M,910
345,F,740
346,F,750
347,M,780
348,M,560
349,M,890
350,M,850
351,M,810
352,F,830
353,F,840
354,F,730
355,M,710
356,M,650
357,M,880
358,M,860
359,M,600
361,M,720
362,M,860
363,M,830
364,M,830
365,F,780
366,M,800
367,M,620
368,M,610
369,F,700
370,F,890
371,M,910
372,F,600
374,F,730
375,M,820
376,M,660
377,F,710
378,M,700
379,M,700
380,F,660
381,M,910
382,M,770
384,F,790
385,M,600
386,M,670
387,F,860
388,M,810
389,M,760
390,M,600
391,M,920
392,F,760
393,F,820
394,M,610
395,F,840
396,F,820
397,M,620
398,M,830
399,M,680
400,M,820
401,M,900
402,M,840
403,M,930
404,F,810
405,M,880
406,M,590
407,M,900
408,M,960
409,F,790
410,M,790
411,M,720
412,M,550
413,F,690
415,F,800
416,F,760
417,F,860
418,F,810
419,F,790
420,M,640
421,F,820
422,F,920
423,F,720
424,F,650
425,F,780
