DiscTag,1,2,3,4,5
111,0,1,2,0,0
114,0,1,0,0,2
12,0,1,0,0,0
123,0,1,0,0,0
127,0,1,0,0,0
129,0,1,0,0,0
131,0,1,2,0,0
132,0,1,0,0,0
133,0,1,0,0,2
14,0,1,0,0,0
16,0,1,0,0,0
162,0,1,0,0,0
163,0,1,2,0,2
166,0,1,0,0,0
172,0,1,0,0,0
173,0,1,0,0,0
174,0,1,0,0,0
176,0,1,0,0,0
1822,1,0,0,0,0
1823,1,0,0,0,0
1825,1,0,0,0,0
1832,1,0,0,0,0
1839,1,0,2,0,0
1863,0,0,0,1,0
1869,0,0,0,1,0
1873,0,0,0,1,0
1874,0,0,0,1,0
1876,0,0,0,1,0
188,0,1,0,0,0
189,0,1,0,0,0
190,0,1,0,0,0
197,0,1,0,0,0
199,0,1,0,0,0
220,1,0,0,0,0
229,1,0,0,0,0
236,1,2,0,0,0
25,0,1,0,0,0
2541,0,1,0,0,0
2553,0,1,0,0,0
2568,0,1,0,0,0
26,0,1,0,0,0
2606,0,1,1,1,0
2615,0,1,0,0,0
2620,0,1,0,0,0
2637,0,1,0,0,0
2640,0,1,0,0,0
2661,0,1,1,1,0
2688,0,1,0,0,0
2699,0,1,0,0,0
27,0,1,0,0,0
2707,0,0,0,1,0
271,1,0,0,0,0
2762,0,1,0,0,1
2770,0,1,0,0,0
2777,0,1,0,0,0
2782,0,1,0,0,0
2788,0,1,0,0,0
2789,0,1,0,0,0
2790,0,1,0,0,0
2791,0,1,0,0,0
2793,0,1,0,0,0
2794,0,1,0,1,0
2795,0,1,2,2,0
2797,0,1,0,0,0
2806,0,0,0,1,0
2814,0,0,0,1,0
2818,0,0,0,1,0
2822,0,0,0,1,0
2843,0,0,0,1,0
2846,0,0,0,1,0
2849,0,0,0,1,0
2856,0,0,0,1,0
2860,0,0,0,1,0
2864,0,0,0,1,0
2874,0,0,0,1,0
2875,0,0,0,1,0
2879,0,0,0,1,0
30,0,1,0,0,0
36,0,1,0,0,0
417,1,0,0,0,0
435,1,0,0,0,0
44,0,1,1,0,0
45,0,1,0,0,0
454,1,0,1,0,0
46,0,1,0,0,0
48,0,1,1,0,0
520,0,0,0,1,0
550,0,0,0,1,0
553,0,0,0,1,0
558,0,0,0,1,2
58,1,0,0,0,0
621,0,0,1,0,0
622,0,0,1,0,0
623,0,0,1,0,0
679,0,0,1,0,0
703,1,0,0,0,0
707,1,0,0,0,0
712,1,0,0,0,0
715,1,0,0,0,2
717,1,0,0,0,0
722,1,0,0,0,0
723,1,0,0,0,2
726,1,0,0,0,0
803,0,0,1,0,0
804,0,0,1,0,0
805,0,0,1,0,0
807,0,0,1,0,0
808,0,0,1,0,0
809,0,0,1,0,0
812,0,0,1,0,0
813,0,0,1,0,0
814,0,0,1,0,0
815,0,0,1,0,0
819,0,0,1,0,0
820,0,0,1,0,0
824,0,0,1,0,0
832,0,0,1,0,0
835,0,0,1,0,0
845,0,0,1,0,0
846,0,0,1,0,0
847,0,0,1,0,0
851,0,0,1,0,0
857,0,0,1,0,0
858,0,0,1,0,0
859,0,0,1,0,0
860,0,0,1,0,0
862,0,0,1,1,0
863,0,0,1,0,0
866,0,0,1,0,0
868,0,0,1,0,0
869,0,0,1,0,0
870,0,0,1,0,0
872,0,0,1,0,0
873,0,0,1,0,0
876,0,0,1,0,0
877,0,0,1,0,0
878,0,0,1,0,0
881,0,0,1,0,0
888,0,0,1,0,1
889,0,0,1,0,0
917,1,0,0,0,0
920,1,0,0,0,0
921,1,0,0,0,0
954,0,0,1,0,0
955,0,0,1,0,0
966,0,0,1,0,0
967,0,0,1,0,0
968,0,0,1,0,0
969,0,0,1,0,0
985,0,0,1,0,0
986,0,0,1,0,0
997,0,0,1,0,0
998,0,0,1,0,0
