DiscTag,sex,length
111,M,755
114,M,737
12,F,718
123,F,763
127,M,754
129,F,728
131,M,726
132,M,751
133,F,633
14,M,775
16,F,695
162,M,779
163,F,652
166,F,661
172,F,681
173,F,658
174,M,804
176,F,693
1822,F,741
1823,M,650
1825,F,686
1832,F,725
1839,F,709
1863,M,794
1869,M,747
1873,M,843
1874,F,760
1876,M,829
188,F,710
189,F,670
190,F,749
197,F,685
199,F,653
220,M,775
229,M,710
236,F,710
25,F,730
2541,M,739
2553,F,675
2568,F,765
26,F,745
2606,M,720
2615,M,760
2620,F,635
2637,F,700
2640,F,765
2661,F,772
2688,M,655
2699,F,695
27,M,642
2707,M,788
271,F,675
2762,F,635
2770,F,704
2777,F,695
2782,M,630
2788,M,772
2789,M,766
2790,M,744
2791,F,650
2793,M,784
2794,M,727
2795,F,732
2797,M,798
2806,F,660
2814,F,713
2818,F,703
2822,F,650
2843,F,677
2846,F,685
2849,F,671
2856,F,793
2860,M,694
2864,M,651
2874,M,790
2875,F,762
2879,F,766
30,F,740
36,M,668
417,F,779
435,F,690
44,M,719
45,F,663
454,F,681
46,F,715
48,F,638
520,M,817
550,F,748
553,F,705
558,F,725
58,M,795
621,M,628
622,M,682
623,M,743
679,F,802
703,M,715
707,F,668
712,F,680
715,M,641
717,M,796
722,M,849
723,F,622
726,M,750
803,M,817
804,M,782
805,M,785
807,M,836
808,F,683
809,F,600
812,M,667
813,M,660
814,F,725
815,M,825
819,M,775
820,M,645
824,M,716
832,M,705
835,M,657
845,F,782
846,M,728
847,F,664
851,M,711
857,M,740
858,M,749
859,M,690
860,M,759
862,F,738
863,M,777
866,F,697
868,M,697
869,M,712
870,M,708
872,M,750
873,F,737
876,F,731
877,M,715
878,M,732
881,M,816
888,F,692
889,M,743
917,M,840
920,F,750
921,M,755
954,F,689
955,F,709
966,M,753
967,F,744
968,M,819
969,M,698
985,F,710
986,M,725
997,F,676
998,M,823
