DiscTag,1,2,3,4
384349EA85861,1,0,0,0
384349EB937F5,0,0,1,0
384349EB9CC32,0,0,1,0
384349EB9CC33,0,0,1,0
384349EBB0F10,0,0,1,0
384349EBB0F11,0,0,1,0
384349EBB0F12,0,0,1,0
384349EBB0F17,0,0,1,0
384349EBB0F1C,0,0,1,0
384349EBB0F21,0,0,1,0
384349EBB0F22,0,0,1,0
384349EBB0F24,0,0,1,0
384349EBB0F25,0,0,1,0
384349EBB0F26,0,0,1,0
384349EBB0F27,0,0,1,0
384349EBB0F2A,0,0,1,0
384349EBB0F2B,0,0,1,0
384349EBB0F2D,0,0,1,0
384349EBB0F37,0,0,1,0
384349EBB0F41,0,0,1,0
384349EBB0F48,0,0,1,0
384349EBB0F49,0,0,1,0
384349EBB0F4C,0,0,1,0
384349EBB0F55,0,0,1,0
384349EBB0F56,0,0,1,0
384349EBB0F5C,0,0,1,0
384349EBB0F5F,0,0,1,0
384349EBB0F60,0,0,1,0
384349EBB0F62,0,0,1,0
384349EBB0F67,0,0,1,0
384349EBB0F68,0,0,1,0
384349EBB0F69,0,0,1,0
384349EBB0F6A,0,0,0,1
384349EBB0F6B,0,0,1,0
384349EBB0FDB,1,0,1,0
384349EBB0FE9,0,0,1,0
384349EBB0FF4,1,0,0,0
384349EBB0FF6,1,0,1,0
384349EBB0FFB,0,0,1,0
384349EBB0FFE,0,0,1,0
384349EBB0FFF,1,0,0,0
384349EBB1004,0,1,0,0
384349EBB100F,0,0,1,0
384349EBB1010,0,0,0,1
384349EBB1018,1,0,0,0
384349EBB101A,1,0,0,0
384349EBB1026,1,0,0,0
384349EBB102A,1,0,0,0
384349EBB1035,0,0,1,0
384349EBB1036,1,0,0,0
384349EBB1038,1,0,0,0
384349EBB1039,0,0,1,0
384349EBB103D,1,0,0,0
384349EBB103E,1,0,0,0
384349EBB1040,0,0,1,0
384349EBB1048,1,0,0,0
384349EBB1049,1,0,0,0
384349EBB1054,0,0,1,0
384349EBB1060,1,0,0,0
384349EBB1068,1,0,0,0
384349EBB106C,1,0,0,0
384349EBB106D,1,0,0,0
384349EBB106E,1,0,0,0
384349EBB1089,1,1,0,0
384349EBB108C,0,0,1,0
384349EBB108D,0,0,1,0
384349EBB1092,1,0,0,0
384349EBB1093,1,0,0,0
3843515DC8AB7,1,0,0,0
3843515DC8AEA,1,0,0,0
3843515DC8AEF,0,0,1,0
3843515DC8B12,0,0,1,0
3843515DC8B19,0,0,0,1
3843515DC8B1A,0,0,1,0
3D504A817E586,0,0,1,0
3D504A817F8FF,0,0,0,1
3D504A818177A,0,1,0,0
3D504A8181A56,0,0,0,1
3D504A8181CDB,0,0,1,0
3D504A8181CEA,0,0,1,0
3D504A818496B,0,0,1,0
3D504A8185792,0,0,1,0
3D504A81858ED,0,0,1,0
3D600181F315E,0,0,1,0
3D615343DBE40,1,0,0,0
3D615343DBE5A,1,0,0,0
3D615343DBE69,0,0,1,0
3D615343DBE84,1,0,0,0
3D615343DBE8B,0,1,0,0
3D615343DBF01,0,0,1,0
3D615343DBF15,0,0,0,1
