DiscTag,sex,length
384349EB9CC32,M,167
384349EBB0F10,M,118
384349EBB0F11,M,146
384349EBB0F12,M,142
384349EBB0F17,M,162
384349EBB0F1C,M,162
384349EBB0F21,M,91
384349EBB0F22,M,127
384349EBB0F24,M,121
384349EBB0F25,M,120.65
384349EBB0F26,M,147
384349EBB0F27,M,147
384349EBB0F2A,M,142
384349EBB0F2B,M,95.25
384349EBB0F2D,M,109
384349EBB0F37,M,94
384349EBB0F41,M,80
384349EBB0F48,M,121
384349EBB0F49,M,104
384349EBB0F4C,M,182
384349EBB0F55,M,77
384349EBB0F56,M,91
384349EBB0F5C,M,94
384349EBB0F5F,M,152
384349EBB0F60,M,129
384349EBB0F62,M,144
384349EBB0F67,M,87
384349EBB0F68,M,123.19
384349EBB0F69,M,86
384349EBB0F6B,M,99.06
384349EBB0FDB,M,43
384349EBB0FE9,M,109.22
384349EBB0FF4,M,64
384349EBB0FFB,M,81
384349EBB0FFF,M,60
384349EBB100F,M,152.4
384349EBB1018,M,30
384349EBB101A,M,35
384349EBB1026,M,39
384349EBB1035,M,135.89
384349EBB1036,M,35
384349EBB1038,M,46
384349EBB1039,M,119.39
384349EBB103D,M,30.5
384349EBB103E,M,36
384349EBB1048,M,46.5
384349EBB1049,M,44.5
384349EBB1054,M,155
384349EBB1060,M,67
384349EBB1068,M,40
384349EBB106C,M,39
384349EBB106D,M,37.5
384349EBB106E,M,32.5
384349EBB108D,M,168
384349EBB1092,M,41.5
384349EBB1093,M,40.5
3843515DC8AEF,M,129
3D504A8181CDB,M,170
3D504A818496B,M,168
3D504A81858ED,M,152
3D615343DBE84,M,71
3D615343DBF01,M,100
3D61534920C68,M,104
3D61534920C6B,M,130
3D61534920C7B,M,200
3D61534920C7E,M,162
3D61534920C86,M,91
3D61534920C8A,M,122
3D61534920C9D,M,48
3D61534920CAA,M,86
3D61534920CBB,M,170
3D61534920CBE,M,134
3D61534920CC2,M,100
3D61534A21A0B,M,163
3D61534A21E57,M,153
3D61534A21E5C,M,91
3D61534A21E5F,M,81
3D61534A21E60,M,128
3D61534A21E65,M,94
3D61534A21E66,M,79
3D61534A21E68,M,100
3D61534A21E69,M,131
3D61534A21E6A,M,94
3D61534A21E6D,M,206
3D61534A21E6E,M,135
3D61534A21E72,M,104
3D61534A21E73,M,163
3D61534A21E75,M,134
3D61534A21E7F,M,108
3D61534A21E80,M,80
3D61534A21E81,M,94
3D61534A21E86,M,191
3D61534A21E87,M,150
3D61534A21E88,M,132
3D61534A21E8B,M,128
3D61534A21E93,M,99
3D61534A21E94,M,148
3D61534A21E95,M,148
3D61534A21E98,M,99
3D61534A21E9C,M,77
3D61534A21E9D,M,92
3D61534A21EA0,M,105
3D61534A21EA5,M,139
3D61534A21EA6,M,142
3D61534A21EAB,M,125
3D61534A21EAD,M,144
3D61534A21EAE,M,103
3D61534A21EAF,M,86
3D61534A21EB6,M,98
3D61534A21EBA,M,107
3D61534B1416E,M,133
3D61534B14191,M,100
3D61534B14194,M,116
3D61534B141BC,M,73
3D61534B1422E,M,100
3D61534B14232,M,101
3D61534B14254,M,89
3D61534B14258,M,150
3D61534B14261,M,146
3D61534B14264,M,132
3D61534B14269,M,152
3D61534B14272,M,130
3D61534B14274,M,89
3D61534B1427C,M,153
3D61534B14285,M,106
3D61534B14287,M,178
3D61534B14288,M,90
3D61534B1428B,M,94
3D61534B1428D,M,100
3D61534B14290,M,93
3D61534B14292,M,141
3D61534B14294,M,165
3D61534B14295,M,148
3D61534B14296,M,162
3D61534B14299,M,152
3D61534B1429B,M,111
3D61534B1429D,M,90
3D61534B1429E,M,130
3D61534B1429F,M,160
3D61534B142A1,M,118
3D61534B142A2,M,162
3D61534B142A5,M,142
3D61534B142A6,M,133
3D61534B142A8,M,141
3D61534B142AB,M,127
3D61534B142AE,M,103
3D61534B142AF,M,198
3D61534B142B1,M,195
3D61534B142B2,M,90
3D61534B142B3,M,195
3D61534B142B7,M,147
3D61534B142BA,M,146
3D61534B142BC,M,84
3D61534B142BE,M,89
3D61534B142BF,M,91
3D61534B142C1,M,167
3D61534B142C6,M,139
3D61534B142CB,M,178
3D61534B142CC,M,97
3D61534B142CE,M,100
3D61534B142CF,M,86
3D61534B142D3,M,99
3D61534B142D6,M,100
3D61534B142D9,M,99
3D61534B142DB,M,133
3D61534B142E3,M,181
3D61534B142E5,M,160
3D61534B142E6,M,52
3D61534B142E7,M,236
3D61534B142E8,M,205
3D61534B142F6,M,104
3D61534B142F9,M,103
3D61534B142FA,M,150
3D61534B1430D,M,80
3D61534B14310,M,91.44
3D61534B14334,M,105
3D61534B14341,M,152
3D61534B1434B,M,150
3D61534B143B6,M,43
3D61534B143B7,M,38
3D61534B143BB,M,59
3D61534B143BD,M,52
3D61534B143BF,M,48
3D61534B143C0,M,48
3D61534B143C2,M,39
3D61534B143C3,M,43
3D61534B143C4,M,35
3D61534B143C5,M,42
3D61534B143C8,M,35
3D61534B143C9,M,48
3D61534B143CD,M,44
3D61534B143CE,M,60
3D61534B143CF,M,42
3D61534B143D3,M,39
3D61534B143D7,M,55
3D61534B143D8,M,49
3D61534B143DE,M,39
3D61534B143E2,M,70
3D61534B143E3,M,64
3D61534B143E9,M,45
3D61534B143EC,M,53
3D61534B143EF,M,23
3D61534B143F0,M,58
3D61534B143F2,M,59
3D61534B143F5,M,54
3D61534B143F8,M,63
3D61534B143FC,M,76
3D61534B14402,M,61
3D61534B14403,M,42
3D61534B14404,M,45
3D61534B1440C,M,58
3D61534B1440D,M,36
3D61534B14411,M,55
3D61534B14414,M,38
3D61534B14416,M,99
3D61534B14417,M,101
3D61534B14418,M,85
3D61534B14419,M,153
3D61534B1441A,M,110
3D61534B1441B,M,142
3D61534B1441C,M,173
3D61534B1441D,M,79
3D61534B1441E,M,97
3D61534B1441F,M,176
3D61534B14420,M,97
3D61534B14421,M,145
3D61534B14422,M,108
3D61534B14423,M,107
3D61534B14424,M,99
3D61534B14427,M,82
3D61534B14428,M,109
3D61534B14429,M,117
3D61534B1442A,M,107
3D61534B1442B,M,117
3D61534B1442C,M,175
3D61534B1442D,M,173
3D61534B1442E,M,120
3D61534B1442F,M,155
3D61534B14430,M,178
3D61534B14431,M,147
3D61534B14432,M,99
3D61534B14433,M,99
3D61534B14434,M,107
3D61534B14435,M,176
3D61534B14436,M,139
3D61534B14437,M,95
3D61534B14439,M,150
3D61534B1443A,M,172
3D61534B1443B,M,94
3D61534B1443C,M,147
3D61534B1443D,M,150
3D61534B1443E,M,165
3D61534B1443F,M,94
3D61534B14440,M,118
3D61534B14441,M,84
3D61534B14442,M,142
3D61534B14443,M,101
3D61534B14444,M,142
3D61534B14445,M,172
3D61534B14446,M,104
3D61534B14447,M,117
3D61534B14448,M,137
3D61534B1444A,M,94
3D61534B1444B,M,102
3D61534B1444C,M,196
3D61534B1444D,M,124
3D61534B1444E,M,122
3D61534B1444F,M,182
3D61534B14450,M,84
3D61534B14451,M,123
3D61534B14453,M,162
3D61534B14454,M,56
3D61534B14455,M,127
3D61534B14456,M,122
3D61534B14457,M,132
3D61534B14458,M,203
3D61534B14459,M,109
3D61534B1445B,M,85
3D61534B1445C,M,165
