DISCTAG,length,sex
3DD003BF8597B,147,F
3DD003BF858BA,131,F
3DD003BF85890,177,F
3DD003BF8588C,97,F
3DD003BF85885,136,F
3DD003BF85874,105,F
3DD003BC9A9A6,149,F
3D61D599B3E2A,91,F
3D61534C51AE7,84,F
3D61534C51AE6,78.5,F
3D61534C51AE5,50.5,F
3D61534C51AE4,88,F
3D61534C51AE3,84,F
3D61534C51AE1,86,F
3D61534C51AE0,130,F
3D61534C51ADF,57,F
3D61534C51ADE,122,F
3D61534C51ADD,132,F
3D61534C51ADC,79,F
3D61534C51ADB,190,F
3D61534C51ADA,118,F
3D61534C51AD9,84.5,F
3D61534C51AD8,91.5,F
3D61534C51AD7,148.5,F
3D61534C51AD6,92.5,F
3D61534C51AD5,94,F
3D61534C51AD4,104.5,F
3D61534C51AD3,104.5,F
3D61534C51AD2,131,F
3D61534C51AD1,141,F
3D61534C51AD0,82.5,F
3D61534C51ACF,139,F
3D61534C51ACD,114.5,F
3D61534C51ACC,139,F
3D61534C51ACB,98,F
3D61534C51ACA,94.5,F
3D61534C51AC9,101,F
3D61534C51AC8,85,F
3D61534C51AC6,118,F
3D61534C51AC5,58,F
3D61534C51AC4,93,F
3D61534C51AC3,141.5,F
3D61534C51AC2,93,F
3D61534C51AC1,109.5,F
3D61534C51ABF,106,F
3D61534C51ABE,99,F
3D61534C51ABD,154.5,F
3D61534C51ABC,88,F
3D61534C51ABB,99.5,F
3D61534C51ABA,181.5,F
3D61534C51AB9,137,F
3D61534C51AB8,78,F
3D61534C51AB7,92.5,F
3D61534C51AB6,103,F
3D61534C51AB5,117,F
3D61534C51AB4,152,F
3D61534C51AB3,107,F
3D61534C51AB2,93.5,F
3D61534C51AB1,103.5,F
3D61534C51AB0,117,F
3D61534C51AAF,86,F
3D61534C51AAE,137,F
3D61534C51AAD,106.5,F
3D61534C51AAC,76,F
3D61534C51AAB,95.5,F
3D61534C51AAA,113,F
3D61534C51AA9,160,F
3D61534C51AA8,55.5,F
3D61534C51AA7,96,F
3D61534C51AA6,147,F
3D61534C51AA5,89.5,F
3D61534C51AA4,118,F
3D61534C51AA3,157,F
3D61534C51AA2,99,F
3D61534C51AA1,143,F
3D61534C51AA0,167,F
3D61534C51A9F,120.5,F
3D61534C51A9E,119,F
3D61534C51A9D,106.5,F
3D61534C51A9C,56,F
3D61534C51A9B,105.5,F
3D61534C51A9A,85.5,F
3D61534C51A99,134.5,F
3D61534C51A98,120,F
3D61534C51A97,93,F
3D61534C51A96,152,F
3D61534C51A95,58,F
3D61534C51A94,80,F
3D61534C51A93,160,F
3D61534C51A92,51,F
3D61534C51A91,77.5,F
3D61534C51A90,143,F
3D61534C51A8F,100,F
3D61534C51A8E,77,F
3D61534C51A8D,175,F
3D61534C51A8B,95,F
3D61534C51A8A,80,F
3D61534C51A89,153,F
3D61534C51A88,125,F
3D61534C51A87,210,F
3D61534C51A86,109.5,F
3D61534C51A85,131,F
3D61534C51A83,163,F
3D61534C51A82,101,F
3D61534C51A81,61,F
3D61534C51A80,113,F
3D61534C51A7F,92,F
3D61534C518EE,185,F
3D61534C518ED,138,F
3D61534C518EC,102,F
3D61534C518EB,134,F
3D61534C518EA,154,F
3D61534C518E9,134,F
3D61534C518E8,106,F
3D61534C518E7,94.5,F
3D61534C518E6,57,F
3D61534C518E5,108.5,F
3D61534C518E4,176,F
3D61534C518E3,108,F
